rowId,city_name,town_name,latitude,longitude,households,population,e_stat_code
1,桑名市,吉之丸,35.063892,136.700542,160,390,242050010
2,桑名市,三之丸,35.066675,136.700139,109,278,242050020
3,桑名市,片町,35.064457,136.6959,24,63,242050030
4,桑名市,江戸町,35.066097,136.69625,12,26,242050040
5,桑名市,川口町,35.067351,136.696418,34,55,242050050
6,桑名市,船馬町,35.069233,136.697199,34,86,242050060
7,桑名市,清水町,35.067809,136.692917,29,76,242050070
8,桑名市,宝殿町,35.067443,136.694361,38,94,242050080
9,桑名市,春日町,35.067975,136.694564,27,55,242050090
10,桑名市,宮町,35.067833,136.695288,15,42,242050100
11,桑名市,風呂町,35.066918,136.695034,8,18,242050110
12,桑名市,本町,35.066504,136.695482,50,139,242050120
13,桑名市,北魚町,35.066163,136.694972,17,45,242050130
14,桑名市,三崎通,35.066772,136.693806,51,90,242050140
15,桑名市,相生町,35.066675,136.692488,8,18,242050150
16,桑名市,殿町,35.066274,136.693143,15,31,242050160
17,桑名市,田町,35.065934,136.694115,12,26,242050170
18,桑名市,南魚町,35.064943,136.693622,48,105,242050180
19,桑名市,油町,35.064472,136.694285,18,42,242050190
20,桑名市,職人町,35.064454,136.694652,26,66,242050200
21,桑名市,宮通,35.064281,136.695212,26,65,242050210
22,桑名市,京町,35.063369,136.69421,38,91,242050220
23,桑名市,吉津屋町,35.062812,136.692328,41,113,242050230
24,桑名市,鍛冶町,35.061228,136.691269,32,83,242050240
25,桑名市,入江葭町,35.061219,136.6924,32,75,242050250
26,桑名市,紺屋町,35.062391,136.692923,40,87,242050260
27,桑名市,内堀,35.061616,136.695619,166,435,242050270
28,桑名市,元赤須賀,35.061117,136.700012,167,367,242050280
29,桑名市,伊賀町,35.059737,136.699199,114,277,242050290
30,桑名市,柳原,35.058562,136.695848,176,393,242050300
31,桑名市,新屋敷,35.056976,136.692703,267,530,242050310
32,桑名市,八幡町,35.059007,136.693747,63,147,242050320
33,桑名市,外堀,35.060141,136.694374,165,391,242050330
34,桑名市,萱町,35.058091,136.691621,66,166,242050340
35,桑名市,伝馬町,35.057091,136.689657,88,182,242050350
36,桑名市,新町,35.059347,136.691222,59,142,242050360
37,桑名市,一色町,35.059412,136.68989,176,386,242050370
38,桑名市,千代田町,35.059075,136.68389,48,109,242050380
39,桑名市,矢田磧,35.058724,136.686363,144,370,242050390
40,桑名市,西鍋屋町,35.056665,136.687022,65,159,242050400
41,桑名市,北鍋屋町,35.059365,136.688435,13,27,242050410
42,桑名市,東鍋屋町,35.055583,136.688825,54,184,242050420
43,桑名市,新地,35.056759,136.679606,135,337,242050430
44,桑名市,南寺町,35.064639,136.692381,33,66,242050440
45,桑名市,北寺町,35.06611,136.691771,27,63,242050450
46,桑名市,今片町,35.067448,136.69142,16,51,242050460
47,桑名市,堤原,35.067822,136.68931,61,152,242050470
48,桑名市,今中町,35.068025,136.690688,43,109,242050480
49,桑名市,今北町,35.068549,136.691321,86,145,242050490
50,桑名市,太一丸,35.069893,136.69195,112,264,242050500
51,桑名市,東太一丸,35.072162,136.694298,25,58,242050510
52,桑名市,住吉町,35.070275,136.696583,0,0,242050520
53,桑名市,東矢田町,35.057048,136.684938,57,143,242050530
54,桑名市,西矢田町,35.057347,136.682991,40,103,242050540
55,桑名市,福江町,35.056512,136.681495,62,143,242050550
56,桑名市,大字赤須賀,35.058665,136.704802,231,490,24205056001
57,桑名市,大字赤須賀,35.061874,136.70398,121,243,24205056002
58,桑名市,大字江場,35.052075,136.692017,773,1745,24205057001
59,桑名市,大字江場,35.055722,136.695026,101,291,24205057002
60,桑名市,大字江場,35.055091,136.686474,229,538,24205057003
61,桑名市,大字江場,35.053889,136.678187,324,670,24205057004
62,桑名市,大字江場,35.047363,136.685821,547,1100,24205057005
63,桑名市,益生町,35.058165,136.680138,62,110,242050580
64,桑名市,相川町,35.057742,136.686046,46,111,242050590
65,桑名市,掛樋,35.057895,136.688175,26,73,242050600
66,桑名市,三ツ矢橋,35.058228,136.682896,119,246,242050610
67,桑名市,大字大福,35.05452,136.680747,129,314,24205062001
68,桑名市,大字大福,35.051075,136.686558,365,779,24205062002
69,桑名市,大字本願寺,35.061739,136.676806,136,283,242050630
70,桑名市,大字矢田,35.058336,136.677773,903,2072,242050640
71,桑名市,新矢田一丁目,35.059726,136.681977,103,233,24205065001
72,桑名市,新矢田二丁目,35.060901,136.683326,118,309,24205065002
73,桑名市,馬道,35.059222,136.680908,78,171,242050660
74,桑名市,明正町,35.058612,136.675351,58,125,242050670
75,桑名市,大字上野,35.060013,136.670536,360,831,242050680
76,桑名市,大字桑名,35.071388,136.690803,137,323,24205070001
77,桑名市,大字桑名,35.069452,136.685532,346,796,24205070002
78,桑名市,大字桑名,35.064558,136.682136,40,99,24205070003
79,桑名市,大央町,35.061462,136.689795,62,279,242050710
80,桑名市,中央町一丁目,35.064145,136.685561,125,237,24205072001
81,桑名市,中央町二丁目,35.062629,136.683735,125,254,24205072002
82,桑名市,中央町三丁目,35.06277,136.688025,44,56,24205072003
83,桑名市,中央町四丁目,35.061974,136.686529,13,28,24205072004
84,桑名市,中央町五丁目,35.060524,136.686541,282,610,24205072005
85,桑名市,新築町,35.063337,136.690525,76,147,242050730
86,桑名市,常盤町,35.064599,136.690496,78,193,242050740
87,桑名市,京橋町,35.063488,136.691919,18,85,242050750
88,桑名市,三栄町,35.065668,136.690307,53,132,242050760
89,桑名市,八間通,35.066665,136.690291,39,78,242050770
90,桑名市,寿町一丁目,35.066397,136.686832,54,114,24205078001
91,桑名市,寿町二丁目,35.06547,136.685873,6,9,24205078002
92,桑名市,寿町三丁目,35.065503,136.688195,45,107,24205078003
93,桑名市,末広町,35.067105,136.688197,189,415,242050790
94,桑名市,桑栄町,35.066351,136.684438,81,170,242050800
95,桑名市,有楽町,35.067623,136.685419,234,515,242050810
96,桑名市,駅元町,35.068423,136.685355,137,316,242050820
97,桑名市,参宮通,35.068968,136.687836,179,369,242050830
98,桑名市,蓮見町,35.070038,136.689524,186,504,242050840
99,桑名市,神成町一丁目,35.073679,136.675808,25,42,24205085101
100,桑名市,神成町二丁目,35.075108,136.676003,101,115,24205085102
101,桑名市,福島新町,35.077506,136.682137,77,191,242050852
102,桑名市,大字東方,35.063219,136.675905,135,368,24205085301
103,桑名市,大字東方,35.073901,136.683858,514,955,24205085302
104,桑名市,大字東方,35.070857,136.679327,1718,3684,24205085303
105,桑名市,大字東方,35.075713,136.671579,228,378,24205085304
106,桑名市,大字西方,35.074881,136.662977,373,1132,242050860
107,桑名市,大字北別所,35.07213,136.67442,533,1244,24205087001
108,桑名市,大字北別所,35.081404,136.673156,76,173,24205087002
109,桑名市,高塚町一丁目,35.070044,136.673046,78,180,24205088001
110,桑名市,高塚町二丁目,35.07236,136.673388,29,76,24205088002
111,桑名市,高塚町三丁目,35.07069,136.671684,78,163,24205088003
112,桑名市,高塚町四丁目,35.072269,136.671618,99,227,24205088004
113,桑名市,高塚町五丁目,35.070863,136.670279,92,203,24205088005
114,桑名市,高塚町六丁目,35.071508,136.668944,67,139,24205088006
115,桑名市,大字太夫,35.064549,136.666633,100,272,242050890
116,桑名市,大字播磨,35.07726,136.669124,428,905,24205090001
117,桑名市,大字播磨,35.08724,136.653231,294,644,24205090002
118,桑名市,大字西汰上,35.084865,136.670875,87,213,242050910
119,桑名市,大字東汰上,35.086473,136.675947,272,632,242050920
120,桑名市,大字蛎塚新田,35.08697,136.665397,106,286,242050930
121,桑名市,大字福島,35.076816,136.690553,823,1857,242050940
122,桑名市,大字上之輪,35.086651,136.685334,30,58,242050950
123,桑名市,大字尾野山,35.065569,136.678935,56,144,242050960
124,桑名市,梅園通,35.0666,136.673691,88,168,242050970
125,桑名市,桜通,35.065024,136.674095,97,190,242050980
126,桑名市,立花町一丁目,35.064073,136.674051,57,134,24205099001
127,桑名市,立花町二丁目,35.063092,136.673862,51,141,24205099002
128,桑名市,霞町一丁目,35.064186,136.671486,65,148,24205100001
129,桑名市,霞町二丁目,35.063601,136.670789,55,121,24205100002
130,桑名市,神楽町一丁目,35.063041,136.670427,99,244,24205101001
131,桑名市,神楽町二丁目,35.062161,136.67043,76,165,24205101002
132,桑名市,松並町一丁目,35.066035,136.675234,104,265,24205102001
133,桑名市,松並町二丁目,35.065794,136.672923,47,121,24205102002
134,桑名市,青葉町一丁目,35.067928,136.672499,39,88,24205103001
135,桑名市,青葉町二丁目,35.068445,136.672716,47,109,24205103002
136,桑名市,汐見町一丁目,35.067094,136.672064,47,104,24205104001
137,桑名市,汐見町二丁目,35.067651,136.67174,41,118,24205104002
138,桑名市,汐見町三丁目,35.06745,136.669932,13,48,24205104003
139,桑名市,新西方一丁目,35.072337,136.662949,42,96,24205105001
140,桑名市,新西方二丁目,35.073593,136.659713,294,660,24205105002
141,桑名市,新西方三丁目,35.074527,136.656418,270,659,24205105003
142,桑名市,新西方四丁目,35.070829,136.656241,230,588,24205105004
143,桑名市,新西方五丁目,35.070288,136.658651,403,928,24205105005
144,桑名市,新西方六丁目,35.069037,136.660446,216,696,24205105006
145,桑名市,新西方七丁目,35.067766,136.657572,25,78,24205105007
146,桑名市,大字能部,35.051251,136.636318,242,593,242051070
147,桑名市,大字桑部,35.048419,136.650283,414,1121,24205108001
148,桑名市,大字桑部,35.051118,136.646955,324,774,24205108002
149,桑名市,大字西金井,35.049615,136.662349,45,176,242051090
150,桑名市,大字東金井,35.05058,136.670107,178,508,242051100
151,桑名市,東正和台一丁目,35.051181,136.63315,57,139,24205111001
152,桑名市,東正和台二丁目,35.048697,136.633806,87,220,24205111002
153,桑名市,東正和台三丁目,35.04748,136.635154,148,317,24205111003
154,桑名市,東正和台四丁目,35.049071,136.635606,106,238,24205111004
155,桑名市,東正和台五丁目,35.050628,136.637677,65,137,24205111005
156,桑名市,東正和台六丁目,35.049497,136.6378,128,303,24205111006
157,桑名市,東正和台七丁目,35.048247,136.637754,74,170,24205111007
158,桑名市,大字蓮花寺,35.066666,136.653649,830,1750,24205112001
159,桑名市,大字蓮花寺,35.065596,136.648289,490,1175,24205112002
160,桑名市,大字額田,35.065502,136.639774,591,1669,24205113001
161,桑名市,大字額田,35.063511,136.638006,130,311,24205113002
162,桑名市,大字増田,35.056587,136.646605,111,255,242051140
163,桑名市,新倉持,35.060213,136.664239,61,180,242051151
164,桑名市,大字西別所,35.063043,136.663781,723,1709,24205115201
165,桑名市,大字西別所,35.063484,136.65869,595,1405,24205115202
166,桑名市,大字稗田,35.05594,136.657668,142,367,242051160
167,桑名市,大字芳ヶ崎,35.070665,136.617206,537,1245,242051170
168,桑名市,大字森忠,35.0718,136.620733,616,1535,242051180
169,桑名市,大字星川,35.067719,136.628685,409,840,242051190
170,桑名市,大字大仲新田,35.080176,136.608981,481,1071,242051200
171,桑名市,大字五反田,35.071993,136.613119,476,1298,242051210
172,桑名市,大字嘉例川,35.088016,136.623957,89,262,242051220
173,桑名市,大字巖新田,35.063382,136.624179,0,0,242051230
174,桑名市,中山町,35.0681,136.624393,103,253,242051250
175,桑名市,里町,35.065229,136.623539,121,281,242051260
176,桑名市,星見ヶ丘一丁目,35.075859,136.635208,226,573,24205127001
177,桑名市,星見ヶ丘二丁目,35.075513,136.632907,265,727,24205127002
178,桑名市,星見ヶ丘三丁目,35.075404,136.630595,378,837,24205127003
179,桑名市,星見ヶ丘四丁目,35.072034,136.629323,191,483,24205127004
180,桑名市,星見ヶ丘五丁目,35.069674,136.630641,318,837,24205127005
181,桑名市,星見ヶ丘六丁目,35.066983,136.633643,149,358,24205127006
182,桑名市,星見ヶ丘七丁目,35.068783,136.634946,307,715,24205127007
183,桑名市,星見ヶ丘八丁目,35.071101,136.634458,210,610,24205127008
184,桑名市,星見ヶ丘九丁目,35.073093,136.634156,270,707,24205127009
185,桑名市,北川原台,35.099799,136.663193,8,15,242051281
186,桑名市,枇杷島台,35.099717,136.664545,41,97,242051282
187,桑名市,川崎町,35.099533,136.665837,23,58,242051283
188,桑名市,大字下深谷部,35.095669,136.656602,458,1158,24205128401
189,桑名市,大字下深谷部,35.101575,136.667918,271,641,24205128402
190,桑名市,大字下深谷部,35.095048,136.672049,131,297,24205128403
191,桑名市,大字下深谷部,35.097905,136.666916,85,197,24205128404
192,桑名市,大字下深谷部,35.095077,136.667911,198,494,24205128405
193,桑名市,大字上深谷部,35.105736,136.65031,132,352,24205129001
194,桑名市,大字上深谷部,35.106881,136.661576,155,305,24205129002
195,桑名市,大字今島,35.111427,136.661389,89,276,242051300
196,桑名市,大字坂井,35.059334,136.631471,108,283,242051350
197,桑名市,大字赤尾,35.052888,136.629027,156,385,242051360
198,桑名市,大字友村,35.059037,136.624214,208,498,242051370
199,桑名市,大字島田,35.053424,136.620016,184,477,24205138001
200,桑名市,大字島田,35.054526,136.623178,38,58,24205138002
201,桑名市,大字志知,35.053525,136.609968,259,670,242051390
202,桑名市,西正和台一丁目,35.051402,136.631866,69,187,24205140001
203,桑名市,西正和台二丁目,35.050294,136.631681,79,205,24205140002
204,桑名市,西正和台三丁目,35.049677,136.630766,94,204,24205140003
205,桑名市,西正和台四丁目,35.048728,136.631047,90,204,24205140004
206,桑名市,西正和台五丁目,35.047901,136.632075,73,194,24205140005
207,桑名市,赤尾台一丁目,35.051222,136.624533,130,352,24205141001
208,桑名市,赤尾台二丁目,35.049948,136.623047,99,287,24205141002
209,桑名市,赤尾台三丁目,35.04877,136.624443,129,309,24205141003
210,桑名市,赤尾台四丁目,35.047622,136.621921,137,325,24205141004
211,桑名市,赤尾台五丁目,35.047066,136.623555,143,373,24205141005
212,桑名市,赤尾台六丁目,35.047073,136.626477,102,316,24205141006
213,桑名市,赤尾台七丁目,35.048621,136.626849,95,321,24205141007
214,桑名市,赤尾台八丁目,35.049929,136.627206,142,387,24205141008
215,桑名市,赤尾台九丁目,35.051502,136.62602,110,260,24205141009
216,桑名市,大字安永,35.049202,136.679581,1078,2438,242051420
217,桑名市,大字和泉,35.04289,136.684959,970,2163,242051430
218,桑名市,大字小泉,35.038249,136.686422,174,407,242051440
219,桑名市,大字大貝須,35.039479,136.695167,119,313,242051450
220,桑名市,大字小貝須,35.050035,136.699121,213,512,24205146001
221,桑名市,大字小貝須字柳原,35.046597,136.693233,264,637,24205146002
222,桑名市,大字福地,35.032776,136.69912,105,287,242051470
223,桑名市,大字福江,35.034256,136.692654,49,113,242051480
224,桑名市,大字地蔵,35.052837,136.706655,192,484,242051490
225,桑名市,大字東野,35.057493,136.697357,283,525,242051500
226,桑名市,大字萱町,35.032355,136.694527,27,69,242051510
227,桑名市,大字立田町,35.041728,136.705151,108,278,242051520
228,桑名市,大字太平町,35.03227,136.706611,24,73,242051530
229,桑名市,大字福岡町,35.026126,136.703593,33,102,242051540
230,桑名市,筒尾一丁目,35.078748,136.649007,152,370,24205156001
